oos,atc,latency,trf_avg,perfect_order,GMV_cur,retention
0.10431119145185608,101,1117,0,1,1960,0.2805656267383141
0.0752749674323923,65,2603,0,1,574,0.4899672225812861
0.007708635409979694,30,1734,0,0,1859,0.6660016789823263
0.10389541216873217,169,2474,0,1,1165,0.6697237896408764
0.09900003450744395,84,2485,1,1,794,0.796114572122495
0.09751707366338117,210,512,1,1,673,0.764013711524045
0.08090917674766268,70,2311,0,1,2469,0.7585065945925894
0.11642212346633067,28,2548,0,0,66,0.7472538399551865
0.088771272530722,161,830,1,0,2974,0.8740575199770695
0.018902645282577804,175,279,0,0,1525,0.09380099815549503
0.06368787340514968,143,2202,0,1,1668,0.886015919539181
0.03541371714735678,192,1515,0,0,2644,0.6648219747964609
0.031354995326160526,75,1709,0,1,2673,0.3638313284244241
0.07975235797020289,181,2626,0,0,2745,0.30232201058208874
0.03417305442199481,158,1599,0,1,192,0.477806873037008
0.08208221626719583,58,861,1,1,1388,0.6139211273415646
0.03942713386929417,23,2694,1,1,1778,0.8798227736981596
0.01671078235444813,129,1382,0,0,898,0.8124471864087913
0.07280420559193515,16,1750,1,1,1591,0.10922428952449015
0.06986040356816281,67,1435,0,0,2500,0.9022001417447775
0.06862379143026508,88,2782,1,1,1362,0.719596124340009
0.0717749629391964,55,1748,0,0,455,0.5042840922260194
0.0640094517707424,32,755,1,0,1971,0.36748110969903447
0.10781690046891242,48,2598,0,0,2309,0.7192696718555249
0.04925337992397251,70,1118,0,0,2137,0.47195950235135153
0.07167230776738127,5,205,1,1,1513,0.2721168247322888
0.00612313446918579,136,713,0,0,170,0.40238575076987515
0.05060211065085188,77,550,1,0,1440,0.09094575393895554
0.008452244842743567,116,816,1,0,2173,0.9373052034061824
0.03289081449090374,225,210,0,0,1504,0.453183477084265
0.11957852757962208,79,675,0,0,505,0.1486318553543441
0.016723823767566898,205,2041,1,0,2935,0.34963546178686733
0.10583831365056495,183,355,1,0,229,0.924458303550054
0.11449997052606725,233,2605,1,1,1072,0.13784709403294637
0.06002431476687811,97,1336,0,1,1066,0.3037322740019325
0.03911930016003448,62,1830,0,1,2389,0.8365938075806014
0.0174156960047432,221,1318,0,0,2954,0.5127670630454433
0.027518819183879106,199,2923,0,1,358,0.5019696304480171
