atc,retention_pred
7.0,0.7546075585603069
23.0,0.7618412017801959
7.0,0.7461133588770237
32.0,0.768331767414243
79.0,0.7982569381537871
10.0,0.7718963439943474
41.0,0.775648110073643
5.0,0.7439299374090178
48.0,0.7763276384578965
12.0,0.7514198185244835
3.0,0.7429083772060063
31.0,0.7627901460046482
5.0,0.7439697842583863
68.0,0.8035150499041802
7.0,0.7458148719946429
33.0,0.7656569301465161
19.0,0.756396323941656
30.0,0.7612047078958205
7.0,0.7443256719233484
20.0,0.7553225296184863
0.0,0.7388729589208635
19.0,0.7545732092034375
5.0,0.7443447220865095
18.0,0.7543755043200652
13.0,0.7519536122547927
44.0,0.7826026295132108
10.0,0.747599983201612
16.0,0.765516385328607
6.0,0.7443485170924938
35.0,0.7652582421215998
31.0,0.775462952333103
0.0,0.7398642013397672
8.0,0.7515753031615029
21.0,0.7587359780688623
1.0,0.7406769569046572
12.0,0.7504743659691328
13.0,0.7504033655400181
87.0,0.8227831569526733
7.0,0.7454016566919814
70.0,0.8181027565898749
10.0,0.7475641535125243
3.0,0.7419813742794138
7.0,0.7457453155877285
6.0,0.7439484494672658
32.0,0.7635576500139145
15.0,0.752259216799634
19.0,0.7554455059770181
7.0,0.7453836393795389
12.0,0.7549324479359903
20.0,0.7532222550518759
59.0,0.7824262478171388
5.0,0.7451274372392854
42.0,0.775359956734796
37.0,0.7989931826776232
36.0,0.7669739800066357
24.0,0.7583951030010894
14.0,0.7557161977303775
56.0,0.7806081051086604
0.0,0.7393451636765371
7.0,0.7446513164697925
8.0,0.7457347571036601
73.0,0.8048161270419829
12.0,0.7496826265593864
57.0,0.7898200035018583
18.0,0.7542013405374941
54.0,0.8110431880351114
28.0,0.7750283964606175
77.0,0.8097963219735649
11.0,0.748256210418067
37.0,0.7767878865572705
17.0,0.7666458672621265
3.0,0.7419524161994396
70.0,0.8142346690391454
34.0,0.7629572451018449
8.0,0.7464485857712425
52.0,0.8028226014025318
9.0,0.7464484011511815
8.0,0.7453935318366768
7.0,0.7508155833908939
25.0,0.7577221262900053
10.0,0.7471704484602358
10.0,0.7479077009358216
11.0,0.7482756085504806
25.0,0.7617999719220497
73.0,0.7919045484882086
18.0,0.7571005072438693
0.0,0.7396755893724344
18.0,0.756435935136295
0.0,0.7392341343067209
0.0,0.5449836103003367
60.0,0.787217852788385
0.0,0.7392328935821948
0.0,0.5445111797991005
1.0,0.7407804807398496
36.0,0.7822854018164787
7.0,0.7446522343569214
7.0,0.7458944803768088
28.0,0.7594303017756988
16.0,0.7514332157773324
28.0,0.7661626419361552
58.0,0.7845781069294341
23.0,0.7609353273183459
22.0,0.7581681026922719
19.0,0.7570719191928666
16.0,0.7546339405610113
12.0,0.7489827065184239
1.0,0.7403344008470379
15.0,0.7497068373904754
14.0,0.7496436074573104
2.0,0.7420259182099768
20.0,0.7605546060623264
4.0,0.7428798792183531
0.0,0.5445143724851483
4.0,0.7425093815020292
21.0,0.7924942350719769
22.0,0.7603282478745816
31.0,0.7663376015747508
39.0,0.7686545838050886
11.0,0.7500184040817403
28.0,0.761922603581019
37.0,0.7666723141901345
10.0,0.747533483052218
52.0,0.7839892041667025
68.0,0.7853349843182607
2.0,0.740747848532255
55.0,0.7801855601999554
43.0,0.7790821777841185
66.0,0.7886154589449754
19.0,0.7539281509818335
9.0,0.7467920399094116
4.0,0.7425139961016498
11.0,0.7735150290235338
3.0,0.7421599685584158
19.0,0.7581580181483302
38.0,0.8171667062687067
21.0,0.757041965601908
11.0,0.7485721799587672
23.0,0.7563680299685474
18.0,0.7531837331441867
19.0,0.7606529018688555
9.0,0.7461148181611714
14.0,0.7507805868327201
8.0,0.7450131860838305
4.0,0.7460581653415465
60.0,0.8132023290430447
34.0,0.7905106248191628
30.0,0.7618428479322268
69.0,0.786962941614449
60.0,0.797037823239235
26.0,0.7715891795708402
18.0,0.7524693915795706
0.0,0.5449776250245588
19.0,0.7539224790524099
